"trailnumber","trailname","subsectionname","date","wday","max.camera","yday","max.count","subsectionF","month","day","year","week","precipitation_in","daily_aqi_value","dailymeanpm25concentration","temp_max_f","temp_min_f","parkinglot","trailclass","open_for_motor_vehicles","dirtbikes","atvs","hiking","pack_saddle","bicycle","total_traveltime","total_miles","parkinglotsize","motorized","dirtbike","sidebyside","totallength_miles"
500,"Fairy Creek","Fairy Creek",2021-08-22,1,9,234,15,"Fairy Creek",8,22,2021,34,0.0199999995529652,53,12.8999996185303,71,46,"L",3,"Wheeled OHV 50"" or <","yes","yes","yes","yes","yes",46.3944238642811,27.0542105967441,3,1,1,1,9.4177
500,"Fairy Creek","Fairy Creek",2021-08-29,1,3,241,5,"Fairy Creek",8,29,2021,35,0,25,6.09999990463257,76,43,"L",3,"Wheeled OHV 50"" or <","yes","yes","yes","yes","yes",46.3944238642811,27.0542105967441,3,1,1,1,9.4177
500,"Fairy Creek","Fairy Creek",2021-09-05,1,4,248,15,"Fairy Creek",9,5,2021,36,0,94,32.4000015258789,82,43,"L",3,"Wheeled OHV 50"" or <","yes","yes","yes","yes","yes",46.3944238642811,27.0542105967441,3,1,1,1,9.4177
513,"Bridger Ridge","M to Baldy",2021-08-16,2,8,228,10,"M to Baldy",8,16,2021,33,0,145,53.2999992370605,86,59,"L",1,"Non-Motorized","no","no","yes","yes","yes",12.1585278968812,5.83006160698853,3,0,0,0,15.8659
518,"Sacagawea Pass","Sacagawea Pass",2021-07-12,2,0,193,5,"Sacagawea Pass",7,12,2021,28,0,62,17.5,86,61,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-14,4,6,195,10,"Sacagawea Pass",7,14,2021,28,0,57,14.8000001907349,79,51,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-15,5,0,196,15,"Sacagawea Pass",7,15,2021,28,0,75,23.3999996185303,85,53,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-16,6,0,197,10,"Sacagawea Pass",7,16,2021,29,0,90,30.7999992370605,89,63,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-17,7,1,198,30,"Sacagawea Pass",7,17,2021,29,0,67,19.8999996185303,86,53,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-25,1,1,206,5,"Sacagawea Pass",7,25,2021,30,0,109,38.9000015258789,87,54,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-07-31,7,1,212,15,"Sacagawea Pass",7,31,2021,31,0,64,18.1000003814697,89,68,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-08-01,1,5,213,20,"Sacagawea Pass",8,1,2021,31,0,82,26.8999996185303,90,67,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-08-03,3,3,215,10,"Sacagawea Pass",8,3,2021,31,0.469999998807907,123,44.5999984741211,79,58,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
518,"Sacagawea Pass","Sacagawea Pass",2021-08-04,4,0,216,10,"Sacagawea Pass",8,4,2021,31,0,102,36.0999984741211,84,56,"L",3,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,1.6571
530,"Raptor View","Raptor View",2021-07-14,4,6,195,10,"Raptor View",7,14,2021,28,0,57,14.8000001907349,79,51,"M",3,"Non-Motorized","no","no","yes","yes","yes",31.7046008853003,19.0950574963876,2,0,0,0,2.5362
530,"Raptor View","Raptor View",2021-07-17,7,3,198,5,"Raptor View",7,17,2021,29,0,67,19.8999996185303,86,53,"M",3,"Non-Motorized","no","no","yes","yes","yes",31.7046008853003,19.0950574963876,2,0,0,0,2.5362
530,"Raptor View","Raptor View",2021-07-24,7,10,205,25,"Raptor View",7,24,2021,30,0,82,27,85,51,"M",3,"Non-Motorized","no","no","yes","yes","yes",31.7046008853003,19.0950574963876,2,0,0,0,2.5362
530,"Raptor View","Raptor View",2021-07-29,5,3,210,10,"Raptor View",7,29,2021,30,0,108,38.4000015258789,84,65,"M",3,"Non-Motorized","no","no","yes","yes","yes",31.7046008853003,19.0950574963876,2,0,0,0,2.5362
530,"Raptor View","Raptor View",2021-07-31,7,1,212,10,"Raptor View",7,31,2021,31,0,64,18.1000003814697,89,68,"M",3,"Non-Motorized","no","no","yes","yes","yes",31.7046008853003,19.0950574963876,2,0,0,0,2.5362
539,"East Bridger North","East Bridger North",2021-07-17,7,38,198,160,"East Bridger North",7,17,2021,29,0,67,19.8999996185303,86,53,"M",3,"Non-Motorized","no","no","yes","yes","yes",27.4141874074679,19.7706633164074,2,0,0,0,4.6595
539,"East Bridger North","East Bridger North",2021-07-19,2,8,200,10,"East Bridger North",7,19,2021,29,0,88,29.5,96,61,"M",3,"Non-Motorized","no","no","yes","yes","yes",27.4141874074679,19.7706633164074,2,0,0,0,4.6595
539,"East Bridger North","East Bridger North",2021-08-04,4,4,216,5,"East Bridger North",8,4,2021,31,0,102,36.0999984741211,84,56,"M",3,"Non-Motorized","no","no","yes","yes","yes",27.4141874074679,19.7706633164074,2,0,0,0,4.6595
544,"Corbly Gulch","Upper",2021-07-24,7,4,205,5,"Upper",7,24,2021,30,0,82,27,85,51,"S",3,"Dirt Bikes (seasonal)","yes","no","yes","yes","yes",26.4800135316207,14.7531010457195,1,1,1,0,7.5811
544,"Corbly Gulch","Upper",2021-09-02,5,2,245,5,"Upper",9,2,2021,35,0,43,10.3000001907349,71,40,"S",3,"Dirt Bikes (seasonal)","yes","no","yes","yes","yes",26.4800135316207,14.7531010457195,1,1,1,0,7.5811
544,"Corbly Gulch","Upper",2021-09-04,7,2,247,10,"Upper",9,4,2021,36,0,77,24.7000007629395,75,43,"S",3,"Dirt Bikes (seasonal)","yes","no","yes","yes","yes",26.4800135316207,14.7531010457195,1,1,1,0,7.5811
513,"Bridger Ridge","Bridger Ridge - All",2021-07-06,3,14,187,15,"Bridger Ridge - All",7,6,2021,27,0,40,9.5,87,57,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-07-11,1,12,192,20,"Bridger Ridge - All",7,11,2021,28,0,88,29.5,85,57,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
513,"Bridger Ridge","Bridger Ridge - All",2021-07-12,2,6,193,10,"Bridger Ridge - All",7,12,2021,28,0,62,17.5,86,61,"L",1,"Non-Motorized","no","no","yes","yes","yes",57.1624844672538,29.2845307320776,3,0,0,0,15.8659
