"yday","subsectionname","trailname","trailnumber","timeframe","wday","max.count","subsectionF"
5,"M to Baldy","Bridger Ridge",513,2021-01-05,"Tue",NA,"M to Baldy"
7,"Sypes Canyon","Sypes Canyon",531,2021-01-07,"Thu",NA,"Sypes Canyon"
11,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-01-11,"Mon",NA,"Middle Cottonwood to Bostwick"
12,"North Cottonwood Access","North Cottonwood Access",546,2021-01-12,"Tue",NA,"North Cottonwood Access"
13,"New World Gulch","New World Gulch",50,2021-01-13,"Wed",NA,"New World Gulch"
14,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-01-14,"Thu",NA,"North Cottonwood to Johnson Canyon"
15,"Bridger","Bridger Ridge",513,2021-01-15,"Fri",NA,"Bridger"
16,"Corbly Gulch","Corbly Gulch",544,2021-01-16,"Sat",NA,"Corbly Gulch"
17,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-01-17,"Sun",NA,"Felix Canyon Rd"
18,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-01-18,"Mon",NA,"Sypes to Middle Cottonwood"
19,"Bostwick to Truman","Bridger Foothills",534,2021-01-19,"Tue",NA,"Bostwick to Truman"
20,"Baldy to Bridger","Bridger Ridge",513,2021-01-20,"Wed",NA,"Baldy to Bridger"
21,"Fairy Creek","Fairy Creek",500,2021-01-21,"Thu",NA,"Fairy Creek"
22,"Fairy Lakeshore","Fairy Lakeshore",499,2021-01-22,"Fri",NA,"Fairy Lakeshore"
23,"Jones to Ross Pass","Bridger Foothills",534,2021-01-23,"Sat",NA,"Jones to Ross Pass"
24,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-01-24,"Sun",NA,"Sacagawea Peak to Sacagawea Pass"
25,"Ross Pass","Ross Pass",551,2021-01-25,"Mon",NA,"Ross Pass"
26,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-01-26,"Tue",NA,"Fairy Lake Shortcut"
27,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-01-27,"Wed",NA,"Johnson Canyon Jeep Trail"
28,"Sacagawea Pass","Sacagawea Pass",518,2021-01-28,"Thu",NA,"Sacagawea Pass"
29,"Lower Shafthouse","Shafthouse Hill",540,2021-01-29,"Fri",NA,"Lower Shafthouse"
30,"North Cottonwood to Ridge","North Cottonwood",545,2021-01-30,"Sat",NA,"North Cottonwood to Ridge"
31,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-01-31,"Sun",NA,"Ross Pass to Sacagawea Peak"
32,"Bridger to Ross Pass","Bridger Ridge",513,2021-02-01,"Mon",NA,"Bridger to Ross Pass"
33,"Carroll Creek","Carroll Creek",527,2021-02-02,"Tue",NA,"Carroll Creek"
34,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-02-03,"Wed",NA,"Flathead Pass Rd"
35,"Upper Shafthouse","Shafthouse Hill",540,2021-02-04,"Thu",NA,"Upper Shafthouse"
36,"S Fork Brackett Creek","S Fork Brackett Creek",525,2021-02-05,"Fri",NA,"S Fork Brackett Creek"
37,"East Bridger South","East Bridger South",538,2021-02-06,"Sat",NA,"East Bridger South"
38,"Ross Pass to Sacagawea Pass","Bridger Foothills",534,2021-02-07,"Sun",NA,"Ross Pass to Sacagawea Pass"
39,"Raptor View","Raptor View",530,2021-02-08,"Mon",NA,"Raptor View"
40,"Upper Brackett Creek","Upper Brackett Creek",526,2021-02-09,"Tue",NA,"Upper Brackett Creek"
41,"Truman to Jones","Bridger Foothills",534,2021-02-10,"Wed",NA,"Truman to Jones"
42,"College M","College M",511,2021-02-11,"Thu",NA,"College M"
43,"College M","Bridger Foothills",534,2021-02-12,"Fri",NA,"College M"
46,"M to Baldy","Bridger Ridge",513,2021-02-15,"Mon",NA,"M to Baldy"
47,"M shortcut","M shortcut",512,2021-02-16,"Tue",NA,"M shortcut"
48,"Sypes Canyon","Sypes Canyon",531,2021-02-17,"Wed",NA,"Sypes Canyon"
49,"Middle Cottonwood","Middle Cottonwood",586,2021-02-18,"Thu",NA,"Middle Cottonwood"
50,"East Bridger North","East Bridger North",539,2021-02-19,"Fri",NA,"East Bridger North"
51,"Truman Gulch","Truman Gulch",535,2021-02-20,"Sat",NA,"Truman Gulch"
52,"Middle Cottonwood to Bostwick","Bridger Foothills",534,2021-02-21,"Sun",NA,"Middle Cottonwood to Bostwick"
53,"North Cottonwood Access","North Cottonwood Access",546,2021-02-22,"Mon",NA,"North Cottonwood Access"
54,"New World Gulch","New World Gulch",50,2021-02-23,"Tue",NA,"New World Gulch"
55,"North Cottonwood to Johnson Canyon","North Cottonwood",545,2021-02-24,"Wed",NA,"North Cottonwood to Johnson Canyon"
56,"Bridger","Bridger Ridge",513,2021-02-25,"Thu",NA,"Bridger"
57,"Corbly Gulch","Corbly Gulch",544,2021-02-26,"Fri",NA,"Corbly Gulch"
58,"Felix Canyon Rd","Felix Canyon Rd",2514,2021-02-27,"Sat",NA,"Felix Canyon Rd"
59,"Sypes to Middle Cottonwood","Bridger Foothills",534,2021-02-28,"Sun",NA,"Sypes to Middle Cottonwood"
60,"Bostwick to Truman","Bridger Foothills",534,2021-03-01,"Mon",NA,"Bostwick to Truman"
61,"Baldy to Bridger","Bridger Ridge",513,2021-03-02,"Tue",NA,"Baldy to Bridger"
62,"Fairy Creek","Fairy Creek",500,2021-03-03,"Wed",NA,"Fairy Creek"
63,"Fairy Lakeshore","Fairy Lakeshore",499,2021-03-04,"Thu",NA,"Fairy Lakeshore"
64,"Jones to Ross Pass","Bridger Foothills",534,2021-03-05,"Fri",NA,"Jones to Ross Pass"
65,"Sacagawea Peak to Sacagawea Pass","Bridger Ridge",513,2021-03-06,"Sat",NA,"Sacagawea Peak to Sacagawea Pass"
66,"Ross Pass","Ross Pass",551,2021-03-07,"Sun",NA,"Ross Pass"
67,"Fairy Lake Shortcut","Fairy Lake Shortcut",501.1,2021-03-08,"Mon",NA,"Fairy Lake Shortcut"
68,"Johnson Canyon Jeep Trail","Johnson Canyon Jeep Trail",2512,2021-03-09,"Tue",NA,"Johnson Canyon Jeep Trail"
69,"Sacagawea Pass","Sacagawea Pass",518,2021-03-10,"Wed",NA,"Sacagawea Pass"
70,"Lower Shafthouse","Shafthouse Hill",540,2021-03-11,"Thu",NA,"Lower Shafthouse"
71,"North Cottonwood to Ridge","North Cottonwood",545,2021-03-12,"Fri",NA,"North Cottonwood to Ridge"
72,"Ross Pass to Sacagawea Peak","Bridger Ridge",513,2021-03-13,"Sat",NA,"Ross Pass to Sacagawea Peak"
73,"Bridger to Ross Pass","Bridger Ridge",513,2021-03-14,"Sun",NA,"Bridger to Ross Pass"
74,"Carroll Creek","Carroll Creek",527,2021-03-15,"Mon",NA,"Carroll Creek"
75,"Flathead Pass Rd","Flathead Pass Rd",NA,2021-03-16,"Tue",NA,"Flathead Pass Rd"
76,"Upper Shafthouse","Shafthouse Hill",540,2021-03-17,"Wed",NA,"Upper Shafthouse"
