edgeUID,osmId,TrailNumber,TrailName,Subsection,Segment_with_trail_counter,Include,Notes
348369834,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348370144,1010342990,526,Upper Brackett Creek,,0,1,
348370861,39516185,500,Fairy Creek,,0,1,
348369829,164274648,513,Bridger Ridge,M to Baldy,0,1,
348370072,1010342989,534,Bridger Foothills,Bostwick to Truman,0,1,South of intersection with Truman
348371266,428111326,499,Fairy Lakeshore,,0,1,
348371274,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371282,39084420,527,Carrol Creek,,1,1,
348370150,1010343003,525,S Fork Brackett Creek,,0,1,
348371230,1010342999,544,Corbly Gulch,,0,1,
348371202,5547987,2512,Johnson Canyon Jeep Trail,,0,1,
348371343,823526858,540,Shafthouse Hill,Lower Shafthouse,1,1,
348370827,5548407,539,E Bridger North,,0,1,Adjacent road
348369808,301419386,586,Middle Cottonwood,,0,1,Trailhead at very bottom
348371331,39084420,527,Carrol Creek,,0,1,
348371186,619915840,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348369692,72120000,534,Bridger Foothills,College M,0,1,lollipop at bottom of M complex
348370067,1010343000,539,E Bridger North,,0,1,
348370052,1010342985,535,Truman Gulch,,0,1,Next segment uphill from TH
348371528,39516185,500,Fairy Creek,,0,1,
348369716,576012337,511,College M,,0,1,Part to M benches
348369838,164274648,513,Bridger Ridge,M to Baldy,0,1,
348369740,304462180,531,Sypes Canyon,,1,1,Trailhead up a ways
348369745,304462180,531,Sypes Canyon,,0,1,Just downhill from 34836744
348370133,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348369744,824032014,531,Sypes Canyon,,0,1,Just downhill from 34836743
348370071,1010342985,535,Truman Gulch,,0,1,
348371362,5548557,2514,Felix Canyon Rd,,0,1,
348371386,5548547,2514,Felix Canyon Rd,,0,1,
348369817,826245578,586,Middle Cottonwood,,0,1,Creek crossing
348370146,1010343003,525,S Fork Brackett Creek,,0,1,
348371290,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348370143,1010342990,526,Upper Brackett Creek,,0,1,
348371240,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,
348370078,1010342989,534,Bridger Foothills,Truman to Jones,0,1,Intersection with Jones Crk south
348371214,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348369826,164274659,531,Sypes Canyon,,0,1,From 4-way toward Baldy
348370148,39749581,551,Ross Pass,,0,1,
348370139,39749581,551,Ross Pass,,0,1,
348370129,1010342992,534,Bridger Foothills,Jones to Ross Pass,0,1,North of Jones Creek
348371329,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371168,828232797,544,Corbly Gulch,,0,1,
348370088,1010342981,530,Raptor View,,0,1,Tara
348370126,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371210,1010343013,545,North Cottonwood,North Cottonwood to Ridge,0,1,
348369820,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,"North from 4-way w/Sypes Trail, toward Middle Cottonwood"
348370817,835837707,539,E Bridger North,,0,1,
348369825,164274648,513,Bridger Ridge,M to Baldy,0,1,
348369751,72120000,534,Bridger Foothills,College M to Sypes,0,1,Climb to 4-way
348369818,826245575,586,Middle Cottonwood,,1,1,
348370124,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371434,63942066,542,S Fork Flathead Creek,,1,1,
348371246,256661237,518,Sacagawea Pass,,0,1,
348369711,304462179,511,College M,,0,1,Popular way
348371205,5548744,2512,Johnson Canyon Jeep Trail,,0,1,
348370083,835113209,513,Bridger Ridge,Bridger,0,1,
348369727,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371265,1010342987,501,Fairy Lake,,0,1,
348371241,1010342999,544,Corbly Gulch,,0,1,
348371322,39084419,6984,Benchmark Road,,0,1,
348369836,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348370073,1010342998,535,Truman Gulch,,0,1,Intersection w/Bridger Foothills Trail
348370036,5549298,544,Corbly Gulch,,0,1,Access road
348371239,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,
348370600,5549653,538,E Bridger South,,1,1,
348369742,824032013,531,Sypes Canyon,,0,1,"Up high, about 1/2 mile before 4-way"
348371336,39084420,527,Carrol Creek,,0,1,
348369811,826245574,586,Middle Cottonwood,,0,1,Left fork on trail near trailhead. I don't remember this
348369708,72120000,511,Bridger Foothills,College M,0,1,flat way btw 2nd cutoff and foothills trail intersection
348371195,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348369750,72120000,534,Bridger Foothills,College M to Sypes,0,1,Bottom of canyon
348370132,63942068,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348370076,1010342989,534,Bridger Foothills,Truman to Jones,0,1,Between Jones Crk and Truman Gulch
348371260,1010342994,499,Fairy Lakeshore,,0,1,
348369837,1010343017,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348369799,164274648,513,Bridger Ridge,M to Baldy,0,1,
348370145,835113209,513,Bridger Ridge,Bridger to Ross Pass,0,1,
348371204,5552570,2512,Johnson Canyon Jeep Trail,,1,1,
348369728,164274648,513,Bridger Ridge,M to Baldy,1,1,
348371350,5548557,2514,Felix Canyon Rd,,0,1,
348371407,5549478,523,Horsethief Mountain,,0,1,FS 523
348370688,835837711,539,E Bridger North,,0,1,
348371215,5547987,2512,Johnson Canyon Jeep Trail,,0,1,
348371281,371586380,500,Fairy Creek,,0,1,
348370033,5553005,544,Corbly Gulch,,0,1,Lower parking area
348370059,164274648,513,Bridger Ridge,Baldy to Bridger,0,1,
348371163,619915838,546,North Cottonwood Access,,1,1,
348371334,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371256,39516446,500,Fairy Creek,,0,1,
348371377,5549015,2514,Felix Canyon Rd,,0,1,
348369809,301419386,586,Middle Cottonwood,,0,1,Right fork on trail near trailhead. I don't remember this
348371233,833618782,534,Bridger Foothills,Ross Pass to Sacagawea Pass,0,1,FS 534
348369823,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
