STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/1/2021,0,0,2,36,17,32
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/2/2021,0.04,0,,39,19,37
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/3/2021,0.02,0,1,43,19,34
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/4/2021,0,0,1,41,19,36
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/5/2021,0.15,1.5,2,42,28,35
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/6/2021,0,0,2,44,18,40
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/7/2021,0.25,2.5,3,42,27,31
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/8/2021,0.08,0.8,6,34,27,29
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/9/2021,0.01,0.1,5,32,8,27
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/10/2021,0,0,5,30,4,28
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/11/2021,0,0,3,32,8,31
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/12/2021,0,0,2,45,18,45
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/13/2021,0.07,0,2,50,28,37
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/14/2021,0,0,2,39,21,33
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/15/2021,0,0,2,38,15,34
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/16/2021,0.06,0.6,2,38,21,38
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/17/2021,0.05,0.5,2,38,25,34
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/18/2021,0.03,0.3,2,36,25,29
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/19/2021,0.01,0.1,2,32,15,32
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/20/2021,0,0,2,40,19,39
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/21/2021,0,0,2,40,26,32
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/22/2021,0.02,0.2,2,35,21,25
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/23/2021,0,0,2,28,17,24
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/24/2021,0,0,2,28,6,28
USC00241044,"BOZEMAN MONTANA STATE UNIVERSITY, MT US",1/25/2021,0,0,2,29,8,25
